cosmic_age_Gyr,exponent,normalized_delta_cos
33.11311214825911,1,0.9937977329403394
33.884415613920254,1,0.9936356057548463
34.673685045253166,1,0.9934735314592644
35.48133892335755,1,0.9933115100277164
36.30780547701014,1,0.993149541434343
37.15352290971726,1,0.9929876256533009
38.018939632056124,1,0.9928257626587639
38.90451449942807,1,0.9926639524249226
39.810717055349734,1,0.9925021949259845
40.73802778041128,1,0.9923404901361739
41.68693834703355,1,0.9921788380297318
42.657951880159274,1,0.9920172385809163
43.65158322401661,1,0.9918556917640018
44.668359215096324,1,0.9916941975532797
45.708818961487516,1,0.9915327559230581
46.77351412871981,1,0.991371366847662
47.86300923226383,1,0.9912100303014328
48.97788193684461,1,0.9910487462587289
50.11872336272722,1,0.990887514693925
51.28613839913648,1,0.990726335581413
52.48074602497726,1,0.9905652088956011
53.70317963702527,1,0.9904041346109141
54.954087385762456,1,0.9902431127017937
56.23413251903491,1,0.990082143142698
57.543993733715695,1,0.9899212259081018
58.8843655355589,1,0.9897603609724965
60.25595860743578,1,0.98959954831039
61.65950018614822,1,0.9894387878963069
63.09573444801933,1,0.9892780797047881
64.56542290346556,1,0.9891174237103915
66.06934480075961,1,0.9889568198876908
67.60829753919819,1,0.9887962682112771
69.18309709189366,1,0.9886357686557572
70.79457843841381,1,0.9884753211957549
72.44359600749902,1,0.9883149258059102
74.13102413009177,1,0.9881545824608796
75.8577575029184,1,0.9879942911353363
77.62471166286919,1,0.9878340518039697
79.43282347242817,1,0.9876738644414853
81.28305161640995,1,0.9875137290226057
83.17637711026708,1,0.9873536455220695
85.11380382023764,1,0.9871936139146316
87.09635899560806,1,0.9870336341750634
89.12509381337455,1,0.9868737062781527
91.20108393559097,1,0.9867138301987035
93.3254300796991,1,0.9865540059115362
95.49925860214358,1,0.9863942333914876
97.72372209558107,1,0.9862345126134106
100.0,1,0.9860748435521745
1.0,2,1.0385075690587888
1.023292992280754,2,1.0381601399472844
1.0471285480508996,2,1.0378128851534307
1.0715193052376064,2,1.0374658045606313
1.096478196143185,2,1.0371188980523884
1.1220184543019633,2,1.036772165512301
1.1481536214968828,2,1.0364256068240658
1.1748975549395295,2,1.0360792218714756
1.202264434617413,2,1.0357330105384221
1.2302687708123814,2,1.035386972708892
1.2589254117941673,2,1.03504110826697
1.288249551693134,2,1.0346954170968377
1.318256738556407,2,1.0343498990827726
1.3489628825916535,2,1.0340045541091498
1.3803842646028848,2,1.0336593820604403
1.4125375446227544,2,1.033314382821211
1.4454397707459274,2,1.0329695562761259
1.4791083881682074,2,1.0326249023099452
1.5135612484362082,2,1.0322804208075254
1.5488166189124812,2,1.0319361116538173
1.5848931924611136,2,1.0315919747338702
1.62181009735893,2,1.0312480099328272
1.6595869074375607,2,1.0309042171359282
1.6982436524617444,2,1.030560596228508
1.7378008287493754,2,1.0302171470959978
1.7782794100389228,2,1.0298738696239236
1.8197008586099834,2,1.0295307636979067
1.8620871366628675,2,1.029187829203664
1.9054607179632472,2,1.0288450660270076
1.9498445997580451,2,1.028502474053844
1.9952623149688795,2,1.0281600531701756
2.041737944669529,2,1.0278178032620986
2.0892961308540396,2,1.0274757242158055
2.137962089502232,2,1.0271338159175818
2.1877616239495525,2,1.0267920782538085
2.23872113856834,2,1.0264505111109603
2.290867652767773,2,1.0261091143756083
2.344228815319922,2,1.0257678879344154
2.3988329190194904,2,1.0254268316741406
2.4547089156850306,2,1.0250859454816357
2.51188643150958,2,1.0247452292438473
2.570395782768864,2,1.024404682847815
2.6302679918953817,2,1.0240643061806738
2.6915348039269156,2,1.0237240991296512
2.7542287033381663,2,1.0233840615820688
2.8183829312644537,2,1.0230441934253416
2.884031503126606,2,1.022704494546978
